peer_delay_ms,mode,workload,runs,throughput_ops_mean,throughput_ops_sd,throughput_ops_ci95,latency_p50_ms_mean,latency_p50_ms_sd,latency_p50_ms_ci95,latency_p95_ms_mean,latency_p95_ms_sd,latency_p95_ms_ci95,latency_p99_ms_mean,latency_p99_ms_sd,latency_p99_ms_ci95,latency_avg_ms_mean,latency_avg_ms_sd,latency_avg_ms_ci95,operations,errors
0,causal,workload_a,5,3246.706,142.6226657302408,177.08942936508979,0.2731502,0.007524403511242603,0.009342780947867932,0.4780512,0.04671758400431255,0.05800754214121494,0.8106508,0.08664669307423105,0.10758607935368412,0.3020388,0.013066827472649969,0.016224609243529347,50000,0
0,causal,workload_b,5,4121.16,214.11952479865064,265.8645052549826,0.2229342,0.006631865476621189,0.008234548603250978,0.32888379999999995,0.037977165418182544,0.047154879053586264,0.5272621999999999,0.09498044524900902,0.11793379939905824,0.2375582,0.012514263909635275,0.015538510960614805,50000,0
0,causal,workload_c,5,4318.179999999999,58.88899302925792,73.12034253490198,0.21175979999999997,0.0041779737553029215,0.0051876395973998205,0.3243164,0.02584236674145772,0.03208753641124637,0.48203219999999997,0.09515946159841385,0.11815607755520409,0.226163,0.0031207355703423514,0.0038749050056079886,50000,0
0,eventual,workload_a,5,3666.9,475.16691598847643,589.9976527204037,0.25112239999999997,0.027571065382026864,0.03423399927698487,0.3852464,0.043224172210697104,0.0536698984861822,0.6033054,0.11191073532865378,0.1389555310700995,0.26986699999999997,0.030218060510231293,0.03752067783109707,50000,0
0,eventual,workload_b,5,4214.787999999999,141.90339044575342,176.19633113954401,0.21882759999999998,0.006361307593569108,0.007898606620434984,0.31715079999999995,0.024575178477480076,0.030514114364919003,0.46256059999999993,0.0984842299142355,0.1222843226753284,0.232013,0.008028466229610735,0.009968657478102362,50000,0
0,eventual,workload_c,5,4379.346,132.88736595327651,165.00145812031207,0.21047459999999998,0.0018816918716941943,0.0023364290527953377,0.30849059999999995,0.03274973754551325,0.0406641700608859,0.42998659999999994,0.12392730709896024,0.1538760756191207,0.22315839999999998,0.00704115749007221,0.00874275176110544,50000,0
0,strong,workload_a,5,2292.6220000000003,60.66245519264771,75.32238665535965,0.4170518,0.015921793215589754,0.01976951742264274,0.7425974,0.03837015444717417,0.04764283938257422,1.1658796,0.05966868972333815,0.0740884638494599,0.430216,0.011269154205174405,0.013992503066771612,50000,0
0,strong,workload_b,5,3911.16,84.2397447764415,104.597458306781,0.2218444,0.004230575646410308,0.005252953471825297,0.5058764,0.010043944832584455,0.01247120469856485,0.72564,0.04660717217875377,0.057870447752442655,0.2502444,0.005275133202109687,0.006549942982788938,50000,0
0,strong,workload_c,5,4309.120000000001,120.14186343652243,149.17582650624306,0.21332399999999999,0.004793661074794504,0.005952116376163097,0.31993059999999995,0.02902811792555625,0.036043168963776524,0.46703079999999997,0.09280536756405848,0.11523308374435877,0.2267672,0.006262689294544318,0.007776155828971809,50000,0
5,causal,workload_a,5,3216.636,293.39501705039225,364.2980299238516,0.2756092,0.015849788317198434,0.01968011153261592,0.49125159999999995,0.08575000126413992,0.10647268941560979,0.858814,0.21278067461708078,0.2642021031855387,0.3063324,0.02801038283030062,0.034779483936289136,50000,0
