mode,test,trial,staleness_ms,violation
eventual,staleness,0,33.00,
eventual,staleness,1,22.00,
eventual,staleness,2,22.00,
eventual,staleness,3,23.00,
eventual,staleness,4,23.00,
eventual,staleness,5,22.00,
eventual,staleness,6,22.00,
eventual,staleness,7,22.00,
eventual,staleness,8,22.00,
eventual,staleness,9,22.00,
eventual,staleness,10,22.00,
eventual,staleness,11,22.00,
eventual,staleness,12,22.00,
eventual,staleness,13,22.00,
eventual,staleness,14,22.00,
eventual,staleness,15,22.00,
eventual,staleness,16,22.00,
eventual,staleness,17,22.00,
eventual,staleness,18,22.00,
eventual,staleness,19,22.00,
eventual,staleness,20,22.00,
eventual,staleness,21,22.00,
eventual,staleness,22,22.00,
eventual,staleness,23,23.00,
eventual,staleness,24,23.00,
eventual,staleness,25,24.00,
eventual,staleness,26,24.00,
eventual,staleness,27,23.00,
eventual,staleness,28,23.00,
eventual,staleness,29,24.00,
eventual,staleness,30,23.00,
eventual,staleness,31,23.00,
eventual,staleness,32,22.00,
eventual,staleness,33,23.00,
eventual,staleness,34,22.00,
eventual,staleness,35,22.00,
eventual,staleness,36,22.00,
eventual,staleness,37,22.00,
eventual,staleness,38,22.00,
eventual,staleness,39,22.00,
eventual,staleness,40,23.00,
eventual,staleness,41,22.00,
eventual,staleness,42,22.00,
eventual,staleness,43,22.00,
eventual,staleness,44,22.00,
eventual,staleness,45,22.00,
eventual,staleness,46,23.00,
eventual,staleness,47,22.00,
eventual,staleness,48,22.00,
eventual,staleness,49,23.00,
eventual,causal_chain,0,,1
eventual,causal_chain,1,,1
eventual,causal_chain,2,,1
eventual,causal_chain,3,,1
eventual,causal_chain,4,,1
eventual,causal_chain,5,,1
eventual,causal_chain,6,,1
eventual,causal_chain,7,,1
eventual,causal_chain,8,,1
eventual,causal_chain,9,,1
eventual,causal_chain,10,,1
eventual,causal_chain,11,,1
eventual,causal_chain,12,,1
eventual,causal_chain,13,,1
eventual,causal_chain,14,,1
eventual,causal_chain,15,,1
eventual,causal_chain,16,,1
eventual,causal_chain,17,,1
eventual,causal_chain,18,,1
eventual,causal_chain,19,,1
eventual,causal_chain,20,,1
eventual,causal_chain,21,,1
eventual,causal_chain,22,,1
eventual,causal_chain,23,,1
eventual,causal_chain,24,,1
eventual,causal_chain,25,,1
eventual,causal_chain,26,,1
eventual,causal_chain,27,,1
eventual,causal_chain,28,,1
eventual,causal_chain,29,,1
causal,staleness,0,66.00,
causal,staleness,1,23.00,
causal,staleness,2,23.00,
causal,staleness,3,23.00,
causal,staleness,4,23.00,
causal,staleness,5,23.00,
causal,staleness,6,23.00,
causal,staleness,7,23.00,
causal,staleness,8,23.00,
causal,staleness,9,23.00,
causal,staleness,10,23.00,
causal,staleness,11,24.00,
causal,staleness,12,23.00,
causal,staleness,13,24.00,
causal,staleness,14,24.00,
