mode,test,trial,staleness_ms,violation
eventual,staleness,0,17.00,
eventual,staleness,1,6.00,
eventual,staleness,2,5.00,
eventual,staleness,3,5.00,
eventual,staleness,4,5.00,
eventual,staleness,5,5.00,
eventual,staleness,6,6.00,
eventual,staleness,7,6.00,
eventual,staleness,8,6.00,
eventual,staleness,9,5.00,
eventual,staleness,10,6.00,
eventual,staleness,11,6.00,
eventual,staleness,12,6.00,
eventual,staleness,13,5.00,
eventual,staleness,14,6.00,
eventual,staleness,15,6.00,
eventual,staleness,16,6.00,
eventual,staleness,17,5.00,
eventual,staleness,18,6.00,
eventual,staleness,19,5.00,
eventual,staleness,20,6.00,
eventual,staleness,21,6.00,
eventual,staleness,22,6.00,
eventual,staleness,23,6.00,
eventual,staleness,24,6.00,
eventual,staleness,25,6.00,
eventual,staleness,26,6.00,
eventual,staleness,27,6.00,
eventual,staleness,28,6.00,
eventual,staleness,29,5.00,
eventual,staleness,30,6.00,
eventual,staleness,31,6.00,
eventual,staleness,32,6.00,
eventual,staleness,33,5.00,
eventual,staleness,34,6.00,
eventual,staleness,35,5.00,
eventual,staleness,36,5.00,
eventual,staleness,37,5.00,
eventual,staleness,38,5.00,
eventual,staleness,39,5.00,
eventual,staleness,40,5.00,
eventual,staleness,41,6.00,
eventual,staleness,42,6.00,
eventual,staleness,43,6.00,
eventual,staleness,44,5.00,
eventual,staleness,45,6.00,
eventual,staleness,46,5.00,
eventual,staleness,47,6.00,
eventual,staleness,48,6.00,
eventual,staleness,49,6.00,
eventual,causal_chain,0,,1
eventual,causal_chain,1,,1
eventual,causal_chain,2,,1
eventual,causal_chain,3,,1
eventual,causal_chain,4,,1
eventual,causal_chain,5,,1
eventual,causal_chain,6,,1
eventual,causal_chain,7,,1
eventual,causal_chain,8,,1
eventual,causal_chain,9,,1
eventual,causal_chain,10,,1
eventual,causal_chain,11,,1
eventual,causal_chain,12,,1
eventual,causal_chain,13,,1
eventual,causal_chain,14,,1
eventual,causal_chain,15,,1
eventual,causal_chain,16,,1
eventual,causal_chain,17,,1
eventual,causal_chain,18,,1
eventual,causal_chain,19,,1
eventual,causal_chain,20,,1
eventual,causal_chain,21,,1
eventual,causal_chain,22,,1
eventual,causal_chain,23,,1
eventual,causal_chain,24,,1
eventual,causal_chain,25,,1
eventual,causal_chain,26,,1
eventual,causal_chain,27,,1
eventual,causal_chain,28,,1
eventual,causal_chain,29,,1
causal,staleness,0,54.00,
causal,staleness,1,11.00,
causal,staleness,2,5.00,
causal,staleness,3,5.00,
causal,staleness,4,6.00,
causal,staleness,5,6.00,
causal,staleness,6,6.00,
causal,staleness,7,5.00,
causal,staleness,8,6.00,
causal,staleness,9,10.00,
causal,staleness,10,6.00,
causal,staleness,11,6.00,
causal,staleness,12,6.00,
causal,staleness,13,7.00,
causal,staleness,14,6.00,
causal,staleness,15,6.00,
causal,staleness,16,6.00,
causal,staleness,17,14.00,
causal,staleness,18,6.00,
causal,staleness,19,6.00,
causal,staleness,20,7.00,
causal,staleness,21,6.00,
causal,staleness,22,7.00,
causal,staleness,23,8.00,
causal,staleness,24,15.00,
causal,staleness,25,7.00,
causal,staleness,26,8.00,
causal,staleness,27,7.00,
causal,staleness,28,6.00,
causal,staleness,29,7.00,
causal,staleness,30,13.00,
causal,staleness,31,8.00,
causal,staleness,32,6.00,
causal,staleness,33,8.00,
causal,staleness,34,7.00,
causal,staleness,35,7.00,
causal,staleness,36,6.00,
causal,staleness,37,8.00,
causal,staleness,38,9.00,
causal,staleness,39,16.00,
causal,staleness,40,8.00,
causal,staleness,41,7.00,
causal,staleness,42,6.00,
causal,staleness,43,9.00,
causal,staleness,44,7.00,
causal,staleness,45,6.00,
causal,staleness,46,13.00,
causal,staleness,47,6.00,
causal,staleness,48,6.00,
causal,staleness,49,6.00,
causal,causal_chain,0,,0
causal,causal_chain,1,,0
causal,causal_chain,2,,0
causal,causal_chain,3,,0
causal,causal_chain,4,,0
causal,causal_chain,5,,0
causal,causal_chain,6,,0
causal,causal_chain,7,,0
causal,causal_chain,8,,0
causal,causal_chain,9,,0
causal,causal_chain,10,,0
causal,causal_chain,11,,0
causal,causal_chain,12,,0
causal,causal_chain,13,,0
causal,causal_chain,14,,0
causal,causal_chain,15,,0
causal,causal_chain,16,,0
causal,causal_chain,17,,0
causal,causal_chain,18,,0
causal,causal_chain,19,,0
causal,causal_chain,20,,0
causal,causal_chain,21,,0
causal,causal_chain,22,,0
causal,causal_chain,23,,0
causal,causal_chain,24,,0
causal,causal_chain,25,,0
causal,causal_chain,26,,0
causal,causal_chain,27,,0
causal,causal_chain,28,,0
causal,causal_chain,29,,0
strong,staleness,0,23.00,
strong,staleness,1,0.00,
strong,staleness,2,0.00,
strong,staleness,3,0.00,
strong,staleness,4,0.00,
strong,staleness,5,0.00,
strong,staleness,6,0.00,
strong,staleness,7,0.00,
strong,staleness,8,0.00,
strong,staleness,9,0.00,
strong,staleness,10,0.00,
strong,staleness,11,0.00,
strong,staleness,12,0.00,
strong,staleness,13,0.00,
strong,staleness,14,0.00,
strong,staleness,15,0.00,
strong,staleness,16,0.00,
strong,staleness,17,0.00,
strong,staleness,18,0.00,
strong,staleness,19,0.00,
strong,staleness,20,0.00,
strong,staleness,21,0.00,
strong,staleness,22,0.00,
strong,staleness,23,0.00,
strong,staleness,24,0.00,
strong,staleness,25,0.00,
strong,staleness,26,0.00,
strong,staleness,27,0.00,
strong,staleness,28,0.00,
strong,staleness,29,0.00,
strong,staleness,30,0.00,
strong,staleness,31,0.00,
strong,staleness,32,0.00,
strong,staleness,33,0.00,
strong,staleness,34,0.00,
strong,staleness,35,0.00,
strong,staleness,36,0.00,
strong,staleness,37,0.00,
strong,staleness,38,0.00,
strong,staleness,39,0.00,
strong,staleness,40,0.00,
strong,staleness,41,0.00,
strong,staleness,42,0.00,
strong,staleness,43,0.00,
strong,staleness,44,0.00,
strong,staleness,45,0.00,
strong,staleness,46,0.00,
strong,staleness,47,0.00,
strong,staleness,48,0.00,
strong,staleness,49,0.00,
strong,causal_chain,0,,0
strong,causal_chain,1,,0
strong,causal_chain,2,,0
strong,causal_chain,3,,0
strong,causal_chain,4,,0
strong,causal_chain,5,,0
strong,causal_chain,6,,0
strong,causal_chain,7,,0
strong,causal_chain,8,,0
strong,causal_chain,9,,0
strong,causal_chain,10,,0
strong,causal_chain,11,,0
strong,causal_chain,12,,0
strong,causal_chain,13,,0
strong,causal_chain,14,,0
strong,causal_chain,15,,0
strong,causal_chain,16,,0
strong,causal_chain,17,,0
strong,causal_chain,18,,0
strong,causal_chain,19,,0
strong,causal_chain,20,,0
strong,causal_chain,21,,0
strong,causal_chain,22,,0
strong,causal_chain,23,,0
strong,causal_chain,24,,0
strong,causal_chain,25,,0
strong,causal_chain,26,,0
strong,causal_chain,27,,0
strong,causal_chain,28,,0
strong,causal_chain,29,,0
